name,core_count,core_clock,boost_clock,tdp,graphics,smt
AMD FX-8150,8,3.6,,125,,False
AMD A10-6800K,4,4.1,,100,Radeon HD 8670D,False
Intel Core i7-4771,4,3.5,3.9,84,Intel HD Graphics 4600,True
AMD A10-7800,4,3.5,3.9,65,Radeon R7 (on-die),False
AMD Athlon X4 950,4,3.5,3.8,65,,False
Intel Xeon E5-2650,8,2.0,2.8,95,,True
AMD A10-7860k,4,3.6,4.0,65,Radeon R7 (on-die),False
Intel Xeon E3-1245 V5,4,3.5,3.9,80,Intel HD Graphics P530,True
Intel Xeon E5-1620 V4,4,3.5,3.8,140,,True
AMD A10-7890K,4,4.1,4.3,95,Radeon R7 (on-die),False
Intel Xeon E5-2660 V3,10,2.6,3.3,105,,True
AMD Phenom II X4 955,4,3.2,,125,,False
Intel Core i5-4670S,4,3.1,3.8,65,Intel HD Graphics 4600,False
AMD A8-5600K,4,3.6,,100,Radeon HD 7560D,False
Intel Core i7-3960X Extreme Edition,6,3.3,,130,,True
Intel Xeon E5-2620 V3,6,2.4,3.2,85,,True
Intel Xeon E5-2640 V4,10,2.4,3.4,90,,True
Intel Celeron G1610,2,2.6,,55,Intel HD Graphics,False
Intel Core i3-540,2,3.06,,73,Intel HD Graphics,True
AMD A10-7700K,4,3.4,3.8,95,Radeon R7 (on-die),False
Intel Xeon E3-1230 V3,4,3.3,3.7,80,,True
Intel Pentium Gold G5500,2,3.8,,54,Intel UHD Graphics 630,True
Intel Xeon E5-2690 V2,10,3.0,3.6,130,,True
AMD FX-8320E,8,3.2,4.0,95,,False
AMD Phenom II X6 1100T Black,6,3.3,,125,,False
Intel Core i5-2300,4,2.8,,95,Intel HD Graphics 2000,False
Intel Xeon E5-2650 V3,10,2.3,3.0,105,,True
Intel Xeon E-2124,4,3.3,4.3,71,,False
Intel Pentium G3220,2,3.0,,54,Intel HD Graphics,False
Intel Core i3-6098P,2,3.6,,54,Intel HD Graphics 510,True
Intel Pentium G4600,2,3.6,,51,Intel HD Graphics 630,True
Intel Core 2 Duo E6400,2,2.13,,65,,False
Intel Core i7-980,6,3.333,,130,,True
Intel Core i3-4130T,2,2.9,,35,Intel HD Graphics 4400,True
Intel Pentium E5400,2,2.7,,65,,False
Intel Core i3-10100T,4,3.0,3.8,35,Intel UHD Graphics 630,True
AMD A10-5700,4,3.4,,65,Radeon HD 7660D,False
Intel Core i3-10320,4,3.8,4.6,65,Intel UHD Graphics 630,True
Intel Core i7-2600S,4,2.8,,65,Intel HD Graphics 2000,True
Intel Xeon E5-2680,8,2.7,3.5,130,,True
Intel Core i5-2310,4,2.9,,95,Intel HD Graphics 2000,False
AMD A4-5300,2,3.4,,65,Radeon HD 7480D,False
Intel Xeon E5-2690 V3,12,2.6,3.5,135,,True
Intel Core i9-9820X,10,3.3,4.1,165,,True
Intel Core i3-9100T,4,3.1,3.7,35,Intel UHD Graphics 630,False
AMD Phenom II X4 820,4,2.8,,95,,False
Intel Celeron G3930,2,2.9,,51,Intel HD Graphics 610,False
Intel Core i5-7640X,4,4.0,4.2,112,,False
Intel Celeron G3930T,2,2.7,,35,Intel HD Graphics 610,False
Intel Core i7-990X Extreme Edition,6,3.467,,130,,True
Intel Pentium G2030,2,3.0,,55,Intel HD Graphics,False
Intel Core i7-9700T,8,2.0,4.3,35,Intel HD Graphics 630,False
Intel Core i5-9400T,6,1.8,3.4,35,Intel UHD Graphics 630,False
Intel Pentium Gold G6600,2,4.2,,58,Intel UHD Graphics 630,True
Intel Core i3-6100T,2,3.2,,35,Intel HD Graphics 530,True
Intel Core i9-9940X,14,3.3,4.4,165,,True
AMD FX-8120,8,3.1,,125,,False
AMD A8-3870K,4,3.0,,100,Radeon HD 6550D,False
Intel Core i5-7600T,4,2.8,3.7,35,Intel HD Graphics 630,False
Intel Core 2 Extreme QX9775,4,3.2,,150,,False
Intel Xeon E3-1220 V3,4,3.1,3.5,80,,False
Intel Pentium E6600,2,3.06,,65,,False
Intel Xeon E5-1650 V2,6,3.5,3.9,130,,True
Intel Celeron G440,1,1.6,,35,Intel HD Graphics,False
AMD FX-4100,4,3.6,,95,,False
AMD A10-5800K,4,3.8,,100,Radeon HD 7660D,False
Intel Xeon E5-2680 V2,10,2.8,3.6,115,,True
Intel Core i7-4790T,4,2.7,3.9,45,,True
Intel Pentium Gold G6605,2,4.3,,58,Intel UHD Graphics 630,True
AMD A10-7870K,4,3.9,4.1,95,Radeon R7 (on-die),False
AMD A12-9800,4,3.8,4.2,65,Radeon R7 (on-die),False
Intel Core i3-3210,2,3.2,,55,Intel HD Graphics 2500,True
Intel Pentium Gold G5420,2,3.8,,54,Intel UHD Graphics 610,True
Intel Xeon E5-2670,8,2.6,3.3,115,,True
Intel Core i3-8300,4,3.7,,62,Intel UHD Graphics 630,False
Intel Core i9-9920X,12,3.5,4.4,165,,True
Intel Xeon E5-2687W,8,3.1,3.8,150,,True
AMD Phenom II X4 955 Black,4,3.2,,125,,False
Intel Core 2 Quad Q9550S,4,2.83,,65,,False
AMD A8-6500,4,3.5,,65,Radeon HD 8570D,False
Intel Xeon E3-1275 V3,4,3.5,3.9,84,Intel HD Graphics P4600,True
Intel Core i7-930,4,2.8,,130,,True
AMD Phenom II X4 945,4,3.0,,125,,False
Intel Core 2 Quad Q9400,4,2.66,,95,,False
Intel Xeon E5-2687W V2,8,3.4,4.0,150,,True
AMD A6-7400K,2,3.5,3.9,65,Radeon R5 (on die),False
Intel Core i9-9900T,8,2.1,4.4,35,Intel UHD Graphics 630,True
Intel Celeron G530,2,2.4,,65,Intel HD Graphics,False
Intel Xeon E-2288G,8,3.7,5.0,95,Intel HD Graphics P630,True
Intel Celeron G1820,2,2.7,,53,Intel HD Graphics,False
AMD 3850,4,1.3,,25,Radeon HD 8280,False
Intel Pentium G3250,2,3.2,,53,Intel HD Graphics,False
AMD Opteron 6378,16,2.4,3.3,115,,False
Intel Core i5-4460S,4,2.9,3.4,65,Intel HD Graphics 4000,False
AMD Athlon 220GE,2,3.4,,35,Radeon Vega 3,True
Intel Core 2 Duo E7300,2,2.66,,65,,False
AMD A10-6700,4,3.7,,65,Radeon HD 8670D,False
AMD Phenom II X6 1055T,6,2.8,,125,,False
Intel Pentium E2160,2,1.8,,65,,False
AMD Athlon II X2 250,2,3.0,,65,,False
AMD Athlon X4 750K,4,3.4,,100,,False
Intel Core i5-5675C,4,3.1,3.6,65,Iris Pro Graphics 6200,False
Intel Core i7-5775C,4,3.3,3.7,65,Iris Pro Graphics 6200,True
Intel Core i9-7940X,14,3.1,4.4,165,,True
Intel Pentium Gold G5400T,2,3.1,,35,Intel UHD Graphics 610,True
Intel Xeon E3-1245 V6,4,3.7,4.1,73,Intel HD Graphics P630,True
Intel Xeon E5-1620 V2,4,3.7,3.9,130,,True
Intel Pentium G630,2,2.7,,65,Intel HD Graphics,False
Intel Core i3-4340,2,3.6,,54,Intel HD Graphics 4600,True
Intel Xeon E3-1270 V6,4,3.8,4.2,72,,True
Intel Core i3-9300,4,3.7,4.3,62,Intel UHD Graphics 630,False
AMD Athlon II X4 630,4,2.8,,95,,False
Intel Xeon E-2286G,6,4.0,4.9,95,Intel HD Graphics P630,True
Intel Core i5-4690S,4,3.2,3.9,65,Intel HD Graphics 4600,False
Intel Xeon E3-1270 V2,4,3.5,,69,,True
Intel Core 2 Duo E8600,2,3.33,,65,,False
Intel Core i3-2130,2,3.4,,65,Intel HD Graphics 2000,True
Intel Core i5-2550K,4,3.4,,95,,False
AMD A8-5500,4,3.2,,65,Radeon HD 7560D,False
Intel Celeron G1840,2,2.8,,53,Intel HD Graphics,False
Intel Xeon E5-1620,4,3.6,3.8,130,,True
Intel Core i5-6600T,4,2.7,3.5,35,Intel HD Graphics 530,False
Intel Core i5-3330S,4,2.7,3.2,65,Intel HD Graphics 2500,False
AMD Athlon 240GE,2,3.5,,35,Radeon Vega 3,True
Intel Core i5-3450S,4,2.8,,65,Intel HD Graphics 2500,False
Intel Xeon E3-1245 V3,4,3.4,3.8,84,Intel HD Graphics P4600,True
Intel Core i5-3340,4,3.1,3.3,77,Intel HD Graphics 2500,False
Intel Xeon E5-1680 V3,8,3.2,3.8,140,,True
Intel Core i5-6400T,4,2.2,2.8,35,Intel HD Graphics 530,False
Intel Core i5-3570S,4,3.1,3.8,65,Intel HD Graphics 2500,False
Intel Pentium Gold G5600,2,3.9,,54,Intel UHD Graphics 630,True
Intel Xeon E3-1241 V3,4,3.5,3.9,80,,True
Intel Xeon E5-2650L,8,1.8,2.3,70,,True
AMD A12-9800E,4,3.1,3.8,35,Radeon R7 (on-die),False
Intel Xeon E5-2670 V2,10,2.5,3.3,115,,True
AMD Athlon X4 760K,4,3.8,4.1,100,,False
Intel Core i3-3245,2,3.4,,55,Intel HD Graphics 4000,True
Intel Xeon E5-2650L V2,10,1.7,2.1,70,,True
AMD Athlon X4 880K,4,4.0,4.2,95,,False
Intel Core i7-875K,4,2.93,,95,,True
Intel Xeon E5-2609 V4,8,1.7,,85,,False
Intel Pentium E5300,2,2.6,,65,,False
Intel Pentium E2140,2,1.6,,65,,False
AMD Athlon II X4 620,4,2.6,,95,,False
Intel Xeon E3-1275 V5,4,3.6,4.0,80,Intel HD Graphics P530,True
Intel Xeon E3-1225 V5,4,3.3,3.7,80,Intel HD Graphics P530,False
Intel Core i3-550,2,3.2,,73,Intel HD Graphics,True
AMD Phenom II X4 940 Black,4,3.0,,125,,False
Intel Xeon E3-1240 V2,4,3.4,,69,,True
Intel Xeon E3-1240 V3,4,3.4,3.8,80,,True
Intel Core i5-4440S,4,2.8,3.3,65,Intel HD Graphics 4600,False
Intel Core i7-3770T,4,2.5,3.7,45,Intel HD Graphics 4000,True
Intel Core i3-6320,2,3.9,,51,Intel HD Graphics 530,True
Intel Pentium G3260,2,3.3,,53,Intel HD Graphics,False
AMD A10-9700E,4,3.0,3.5,35,Radeon R7 (on-die),False
Intel Xeon E3-1275,4,3.4,,95,Intel HD Graphics,True
Intel Core i7-940,4,2.93,,130,,True
Intel Xeon E3-1245 V2,4,3.4,,77,Intel HD Graphics P4000,True
Intel Pentium G4500,2,3.5,,51,Intel HD Graphics 530,False
Intel Pentium G620,2,2.6,,65,Intel HD Graphics,False
AMD Phenom II X6 1045T,6,2.7,,95,,False
Intel Core i3-3225,2,3.3,,55,Intel HD Graphics 4000,True
AMD A6-5400K,2,3.6,,65,Radeon HD 7540D,False
AMD 5150,4,1.6,,25,Radeon HD 8400,False
Intel Xeon E3-1226 V3,4,3.3,3.7,84,Intel HD Graphics P4600,False
Intel Xeon E3-1230 V5,4,3.4,3.8,80,,True
AMD A6-7480,2,3.5,3.8,65,Radeon R5 (on die),False
Intel Pentium E5800,2,3.2,,65,,False
Intel Xeon E3-1220 V5,4,3.0,3.5,80,,False
Intel Core i7-880,4,3.06,,95,,True
Intel Core i7-970,6,3.2,,130,,True
AMD Sempron 140,1,2.7,,45,,False
AMD FX-4130,4,3.8,,125,,False
Intel Xeon E5-2660 V2,10,2.2,3.0,95,,True
Intel Xeon E5-1650,6,3.2,3.8,130,,True
Intel Xeon E5-2603 V3,6,1.6,,85,,False
Intel Xeon E5-2650L V4,14,1.7,2.5,65,,True
Intel Core i5-8600T,6,2.3,3.7,35,Intel UHD Graphics 630,False
Intel Core i5-9600T,6,2.3,3.9,35,Intel UHD Graphics 630,False
Intel Xeon E-2276G,6,3.8,4.9,80,Intel HD Graphics P630,True
Intel Core i3-10305,4,3.8,4.5,65,Intel UHD Graphics 630,True
Intel Core i3-2120T,2,2.6,,35,Intel HD Graphics 2000,True
Intel Core i3-2105,2,3.1,,65,Intel HD Graphics 3000,True
Intel Xeon E5-4650,8,2.7,3.3,130,,True
Intel Xeon E5-2630L V3,8,1.8,2.9,55,,True
Intel Core 2 Duo E6750,2,2.66,,65,,False
Intel Pentium E6800,2,3.333,,65,,False
AMD A8-3850,4,2.9,,100,Radeon HD 6550D,False
Intel Pentium G645,2,2.9,,65,Intel HD Graphics 2500,False
Intel Xeon E3-1220 V2,4,3.1,,69,,False
AMD A10-6790K,4,4.0,4.3,100,Radeon HD 8670D,False
Intel Xeon E5-2690,8,2.9,3.8,135,,True
Intel Xeon E5-2667 V2,8,3.3,4.0,130,,True
Intel Xeon E3-1265L V3,4,2.5,3.7,45,Intel HD Graphics,True
Intel Core i3-7300,2,4.0,,51,Intel HD Graphics 630,True
Intel Core i3-9350K,4,4.0,4.6,91,Intel HD Graphics 630,False
Intel Xeon E-2236,6,3.4,4.8,80,,True
AMD Phenom II X4 975,4,3.6,,125,,False
AMD A6-7470K,2,3.7,4.0,65,Radeon R5 (on die),False
Intel Xeon E5-2643 V4,6,3.4,3.7,135,,True
Intel Xeon E-2278G,8,3.4,5.0,80,Intel HD Graphics P630,True
Intel Core 2 Extreme QX6700,4,2.66,,100,,False
AMD Athlon II X3 455,3,3.3,,95,,False
AMD Phenom II X4 840,4,3.2,,95,,False
AMD Phenom II X4 980 Black,4,3.7,,125,,False
Intel Core i3-3220T,2,2.8,,35,Intel HD Graphics 2500,True
Intel Core i3-4330,2,3.5,,54,Intel HD Graphics 4600,True
Intel Xeon E3-1271 V3,4,3.6,4.0,80,,True
Intel Xeon E3-1240 V5,4,3.5,3.9,80,,True
AMD Opteron 6328,8,3.2,3.8,115,,False
Intel Xeon E5-2470V2,10,2.4,3.2,95,,True
Intel Core i3-560,2,3.333,,73,Intel HD Graphics,True
Intel Pentium G2140,2,3.3,,55,Intel HD Graphics,False
Intel Core 2 Duo E6320,2,1.86,,65,,False
Intel Core i5-680,2,3.6,,73,Intel HD Graphics,True
Intel Core 2 Quad Q8400,4,2.66,,95,,False
Intel Xeon E3-1246 V3,4,3.5,3.9,84,Intel HD Graphics P4600,True
AMD FX-8370E,8,3.3,4.3,95,,False
AMD Phenom II X2 B59,2,3.4,,80,,False
Intel Xeon E3-1230 V6,4,3.5,3.9,72,,True
Intel Core i5-4590T,4,2.0,,35,Intel HD Graphics 4000,True
Intel Xeon E5-2695 V3,14,2.3,3.3,120,,True
AMD Athlon II X4 635,4,2.9,,95,,False
Intel Xeon E5-2603,4,1.8,,80,,False
Intel Xeon E3-1280 V5,4,3.7,4.0,80,,True
Intel Core 2 Duo E4300,2,1.8,,65,,False
Intel Core 2 Duo E4500,2,2.2,,65,,False
Intel Pentium G6950,2,2.8,,73,Intel HD Graphics,False
AMD Phenom II X4 830,4,2.8,,95,,False
AMD A6-3650,4,2.6,,100,Radeon HD 6530D,False
Intel Core i3-4350,2,3.6,,54,Intel HD Graphics 4600,True
Intel Xeon E3-1276 V3,4,3.6,4.0,84,Intel HD Graphics P4600,True
Intel Xeon E5-1630 V3,4,3.7,3.8,140,,True
Intel Xeon E5-2623 V3,4,3.0,3.5,105,,True
AMD FX-8310,8,3.4,4.3,95,,False
Intel Xeon E5-2420V2,6,2.2,2.7,80,,True
Intel Core i3-8300T,4,3.2,,35,Intel UHD Graphics 630,False
Intel Xeon E-2136,6,3.3,4.5,80,,True
AMD A4-3400,2,2.7,,65,Radeon HD 6410D,False
AMD A4-3300,2,2.5,,65,Radeon HD 6410D,False
Intel Xeon E3-1285 V6,4,4.1,4.5,79,Intel HD Graphics 630,True
Intel Xeon E-2146G,6,3.5,4.5,80,Intel HD Graphics P630,True
Intel Core 2 Duo E7400,2,2.8,,65,,False
Intel Core i7-975 Extreme Edition,4,3.33,,130,,True
AMD Phenom II X6 1075T,6,3.0,,95,,False
Intel Pentium G840,2,2.8,,65,Intel HD Graphics,False
AMD A6-3500,3,2.1,,65,Radeon HD 6530D,False
Intel Xeon E3-1230,4,3.2,,80,,True
Intel Xeon E3-1225 V2,4,3.2,,77,Intel HD Graphics P4000,False
Intel Xeon E5-2650L V3,12,1.8,2.5,65,,True
Intel Xeon E3-1270 V5,4,3.6,4.0,80,,True
Intel Xeon E3-1260L V5,4,2.9,3.9,45,,True
Intel Xeon E3-1235L V5,4,2.0,3.0,25,Intel HD Graphics P530,False
Intel Xeon E5-2603 V4,6,1.7,,85,,False
AMD Athlon 5370,4,2.2,,25,Radeon R3 (on die),False
Intel Xeon E-2274G,4,4.0,4.9,83,Intel HD Graphics P630,True
Intel Xeon E3-1275 V2,4,3.5,,77,Intel HD Graphics P4000,True
Intel Xeon E3-1280 V6,4,3.9,4.2,72,,True
Intel Core i3-2125,2,3.3,,65,Intel HD Graphics 3000,True
AMD A4-6300B,2,3.7,3.9,65,Radeon HD 8370D,False
Intel Xeon E5-2643 V3,6,3.4,3.7,135,,True
AMD Opteron 6344,12,2.6,3.2,115,,False
Intel Xeon E5-2683 V3,14,2.0,3.0,120,,True
Intel Xeon E3-1220 V6,4,3.0,3.5,72,,False
Intel Xeon E3-1225 V6,4,3.3,3.7,73,Intel HD Graphics P630,False
Intel Xeon E-2174G,4,3.8,4.7,71,Intel HD Graphics P630,True
AMD Phenom II X4 810,4,2.6,,95,,False
Intel Celeron E1200,2,1.6,,65,,False
Intel Pentium E2200,2,2.2,,65,,False
Intel Core 2 Duo E4400,2,2.0,,65,,False
Intel Pentium E5200,2,2.5,,65,,False
Intel Core 2 Duo E6550,2,2.33,,65,,False
Intel Core 2 Duo E6700,2,2.66,,65,,False
AMD Phenom II X4 965,4,3.4,,125,,False
AMD Athlon II X2 270,2,3.4,,65,,False
AMD FX-6200,6,3.8,,125,,False
Intel Pentium G640T,2,2.4,,35,Intel HD Graphics,False
AMD Athlon II X4 651K,4,3.0,,100,,False
Intel Xeon E3-1235,4,3.2,,95,Intel HD Graphics,True
Intel Xeon E3-1245,4,3.3,,95,Intel HD Graphics,True
Intel Pentium G3420,2,3.2,,54,Intel HD Graphics,False
Intel Core i5-3340S,4,2.8,3.3,65,Intel HD Graphics 2500,False
Intel Xeon E5-2620 V2,6,2.1,2.6,80,,True
Intel Core i3-4360,2,3.7,,54,Intel HD Graphics 4600,True
Intel Pentium G3240,2,3.1,,53,Intel HD Graphics,False
AMD Sempron 150,1,2.9,,45,,False
AMD Athlon X4 870K,4,3.9,4.1,95,,False
Intel Xeon E5-2430V2,6,2.5,3.0,80,,True
Intel Xeon E-2104G,4,3.2,,65,Intel HD Graphics P630,False
Intel Xeon E-2246G,6,3.6,4.8,80,Intel HD Graphics P630,True
Intel Pentium G4620,2,3.7,,51,Intel HD Graphics 630,True
Intel Core i5-660,2,3.33,,73,Intel HD Graphics,True
Intel Core i5-661,2,3.33,,87,Intel HD Graphics,True
Intel Celeron G540,2,2.5,,65,Intel HD Graphics,False
Intel Celeron G3920,2,2.6,,35,Intel HD Graphics 510,False
Intel Xeon E-2124G,4,3.4,4.5,71,Intel HD Graphics P630,False
AMD Phenom II X3 720,3,2.8,,95,,False
Intel Celeron E1600,2,2.4,,65,,False
Intel Pentium E2180,2,2.0,,65,,False
Intel Core i7-965 Extreme Edition,4,3.2,,130,,True
AMD Sempron 145,1,2.8,,45,,False
Intel Core i5-2405S,4,2.5,,65,Intel HD Graphics 3000,False
AMD FX-8100,8,2.8,,95,,False
AMD FX-4170,4,4.2,,125,,False
AMD A4-4000,2,3.0,,65,Radeon HD 7480D,False
AMD A6-6420K,2,4.0,4.2,65,Radeon HD 8000 Series,False
Intel Pentium G3440,2,3.3,,53,Intel HD Graphics,False
Intel Xeon E5-2637 V2,4,3.5,3.8,130,,True
AMD Pro A10-7800B,4,3.5,3.9,65,Radeon R7 (on-die),False
AMD A4-7300,2,3.8,4.0,65,Radeon HD 8470D,False
Intel Pentium G4560T,2,2.9,,35,Intel HD Graphics 610,True
Intel Core i3-7300T,2,3.5,,35,Intel HD Graphics 630,True
AMD A8-7670K,4,3.6,3.9,95,Radeon R7 (on-die),False
Intel Xeon E-2126G,6,3.3,4.5,80,Intel HD Graphics P630,False
Intel Core i5-4670T,4,2.3,,45,Intel HD Graphics 4600,False
Intel Xeon E5-2665,8,2.4,3.1,115,,True
Intel Xeon E3-1220,4,3.1,,80,,False
Intel Pentium G3470,2,3.6,,53,Intel HD Graphics,False
AMD Phenom II X4 925,4,2.8,,95,,False
Intel Core 2 Duo E7600,2,3.06,,65,,False
Intel Core 2 Quad Q6700,4,2.66,,100,,False
Intel Core 2 Extreme QX6850,4,3.0,,130,,False
AMD Athlon II X4 645,4,3.1,,95,,False
AMD Athlon II X3 450,3,3.2,,95,,False
Intel Pentium G2120,2,3.1,,55,Intel HD Graphics,False
Intel Xeon E3-1240,4,3.3,,80,,True
Intel Xeon E3-1265L V2,4,2.5,,45,Intel HD Graphics 2500,True
Intel Xeon E3-1225 V3,4,3.2,3.6,84,Intel HD Graphics P4600,False
Intel Xeon E5-1660,6,3.3,3.9,130,,True
AMD A4-3450,2,2.9,,65,,False
Intel Core i3-4160T,2,3.1,,35,Intel HD Graphics 4400,True
Intel Pentium G3450,2,3.4,,53,Intel HD Graphics,False
Intel Xeon E3-1240 V6,4,3.7,4.1,72,,True
Intel Celeron E3300,2,2.5,,65,,False
AMD Phenom II X6 1035T,6,2.6,,95,,False
AMD Pro A10-7850B,4,3.7,4.0,95,Radeon R7 (on-die),False
AMD Athlon II X2 255,2,3.1,,65,,False
Intel Celeron 430,1,1.8,,35,,False
AMD Phenom II X2 545,2,3.0,,80,,False
AMD Phenom II X2 550 Black,2,3.1,,80,,False
Intel Core 2 Duo E4600,2,2.4,,65,,False
Intel Core 2 Duo E8300,2,2.83,,65,,False
Intel Core 2 Quad Q8200,4,2.33,,95,,False
Intel Core 2 Quad Q8300,4,2.5,,95,,False
Intel Pentium G850,2,2.9,,65,Intel HD Graphics,False
AMD Athlon II X4 631,4,2.6,,100,,False
Intel Core i5-2380P,4,3.1,,95,,False
Intel Pentium G2130,2,3.2,,55,Intel HD Graphics,False
Intel Xeon E5-2609,4,2.4,,80,,False
Intel Xeon E5-2643 V2,6,3.5,3.8,130,,True
AMD Phenom II X4 B99,4,3.3,,95,,False
Intel Xeon E5-2609 V3,6,1.9,,85,,False
AMD Phenom II X6 1065T,6,2.7,,95,,False
Intel Core i7-4770T,4,2.5,,45,Intel HD Graphics 4600,True
Intel Pentium G4520,2,3.6,,51,Intel HD Graphics 530,False
AMD Opteron 6320,8,2.8,3.3,115,,False
Intel Xeon E3-1275 V6,4,3.8,4.2,73,Intel HD Graphics P630,True
AMD A6-9500E,2,3.0,3.4,35,Radeon R5 (on die),False
Intel Xeon E-2244G,4,3.8,4.8,71,Intel HD Graphics P630,True
AMD Athlon II X2 215,2,2.7,,65,,False
AMD Athlon II X2 260,2,3.2,,65,,False
AMD Athlon II X3 425,3,2.7,,95,,False
AMD Phenom II X2 555 Black,2,3.2,,80,,False
AMD Phenom II X3 705e,3,2.5,,65,,False
AMD Phenom II X4 905e,4,2.5,,65,,False
AMD Phenom II X4 910e,4,2.6,,65,,False
Intel Core 2 Duo E6420,2,2.13,,65,,False
Intel Core 2 Duo E8200,2,2.66,,65,,False
Intel Core i5-670,2,3.46,,73,Intel HD Graphics,True
Intel Core i7-860S,4,2.53,,82,,True
Intel Core 2 Quad Q9505,4,2.83,,95,,False
Intel Core i3-2100T,2,2.5,,35,Intel HD Graphics 2000,True
AMD Phenom II X4 960T Black,4,3.0,,95,,False
Intel Pentium G630T,2,2.3,,35,Intel HD Graphics,False
Intel Pentium G870,2,3.1,,65,Intel HD Graphics,False
Intel Pentium G550,2,2.6,,65,Intel HD Graphics,False
Intel Xeon E3-1270,4,3.4,,80,,True
Intel Xeon E3-1280,4,3.5,,95,,True
AMD Athlon X4 740,4,3.2,,65,,False
Intel Pentium G2010,2,2.8,,55,Intel HD Graphics,False
Intel Celeron G1830,2,2.8,,53,Intel HD Graphics,False
Intel Xeon E5-2603 V2,4,1.8,,80,,False
AMD A4-4020,2,3.2,3.4,65,Radeon HD 7480D,False
AMD A10-6700T,4,2.5,3.5,45,Radeon HD 8650D,False
AMD FX-4150,4,4.0,4.1,125,,False
AMD Athlon II X4 651,4,3.0,,100,,False
Intel Core i3-4360T,2,3.2,,35,Intel HD Graphics 4600,True
Intel Xeon E5-2630L V2,6,2.4,,60,,True
AMD Athlon X2 350,2,3.5,3.9,65,,False
AMD Athlon X4 840,4,3.1,3.8,65,,False
AMD Sempron X2 250,2,3.2,3.6,65,,False
Intel Pentium G3460,2,3.5,,53,Intel HD Graphics,False
Intel Xeon E5-2685 V3,12,2.6,3.3,120,,True
AMD A6-9550,2,3.8,4.0,65,Radeon R5 (on die),False
Intel Core i5-3550S,4,3.0,3.7,65,Intel HD Graphics 2500,False
Intel Xeon E-2144G,4,3.6,4.5,71,Intel HD Graphics P630,True
Intel Celeron G5905T,2,3.3,,35,Intel UHD Graphics 610,False
Intel Core i3-10325,4,3.9,4.7,65,Intel UHD Graphics 630,True
Intel Xeon E5-2640 V2,8,2.0,2.5,95,,True
AMD Athlon II X2 220,2,2.8,,65,,False
AMD Athlon II X3 435,3,2.9,,95,,False
AMD Athlon II X3 440,3,3.0,,95,,False
AMD Athlon II X3 445,3,3.1,,95,,False
AMD Phenom II X4 920,4,2.8,,125,,False
AMD Athlon II X2 250u,2,1.6,,25,,False
AMD Athlon II X3 400e,3,2.2,,45,,False
AMD Athlon II X3 415e,3,2.5,,45,,False
AMD Phenom II X4 965 Black (140W),4,3.4,,140,,False
Intel Celeron E3200,2,2.4,,65,,False
Intel Pentium E6500,2,2.93,,65,,False
Intel Core 2 Duo E6850,2,3.0,,65,,False
Intel Core 2 Duo E7200,2,2.53,,65,,False
Intel Core i5-655K,2,3.2,,73,Intel HD Graphics,True
Intel Core i5-750S,4,2.4,,82,,False
Intel Core 2 Quad Q8200S,4,2.33,,65,,False
Intel Core 2 Extreme X6800,2,2.93,,75,,False
AMD Athlon II X4 610e,4,2.4,,45,,False
AMD Phenom II X2 565 Black,2,3.4,,80,,False
AMD Sempron 130,1,2.6,,45,,False
Intel Core i5-2450P,4,3.2,,95,,False
AMD Athlon II X4 641,4,2.8,,100,,False
Intel Celeron G465,2,1.9,,35,Intel HD Graphics,False
Intel Xeon E3-1225,4,3.1,,95,Intel HD Graphics,False
Intel Celeron G1620,2,2.7,,55,Intel HD Graphics,False
Intel Celeron G1630,2,2.8,,55,Intel HD Graphics,False
Intel Xeon E5-2609 V2,4,2.5,,80,,False
AMD A10-6800B,4,4.1,4.4,100,Radeon HD 8670D,False
AMD A4-6320,2,3.8,4.0,65,Radeon HD 8370D,False
AMD A4-3420,2,2.8,,65,Radeon HD 6410D,False
Intel Celeron G470,1,2.0,,35,Intel HD Graphics,True
AMD FX-4320,4,4.0,4.2,95,,False
AMD Athlon II X2 221,2,2.8,,65,,False
AMD E2-3200,2,2.4,,65,Radeon HD 6370D,False
AMD Athlon X4 550,4,2.2,,25,,False
AMD Pro A8-7600B,4,3.1,3.8,65,Radeon R7 (on-die),False
AMD Pro A4-7300B,2,3.8,4.0,65,Radeon HD 8470D,False
Intel Core i3-6300T,2,3.3,,35,Intel HD Graphics 530,True
Intel Pentium G4400T,2,2.9,,35,Intel HD Graphics 510,False
Intel Pentium G4500T,2,3.0,,35,Intel HD Graphics 530,False
Intel Celeron G3950,2,3.0,,51,Intel HD Graphics 610,False
Intel Pentium G4600T,2,3.0,,35,Intel HD Graphics 630,True
Intel Core i3-7101TE,2,3.4,,35,Intel HD Graphics 610,True
AMD Athlon X4 940,4,3.2,3.6,65,,False
Intel Core i7-870S,4,2.667,,82,,True
Intel Pentium Gold G5500T,2,3.2,,35,Intel UHD Graphics 630,True
Intel Core i3-9320,4,3.7,4.4,62,,False
Intel Xeon E-2134,4,3.5,4.5,71,,True
Intel Xeon E5-2637 V3,4,3.5,3.7,135,,True
AMD Phenom II X2 550,2,3.1,,80,,False
AMD Athlon II X2 235e,2,2.7,,45,,False
AMD Athlon II X2 240e,2,2.8,,45,,False
AMD Athlon II X2 245e,2,2.9,,45,,False
AMD Athlon II X3 405e,3,2.3,,45,,False
