name,capacity,rpm,cache,form_factor,interface
Western Digital Blue,1000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,22000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,4000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X22,22000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,6000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate FireCuda,2000.0,,64.0,3.5,SATA 6.0 Gb/s
Western Digital WD Blue,1000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,3000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba MG10 512e,20000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,18000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Toshiba DT01ACA200,2000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,24000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,22000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,6000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,1000.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,2000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,18000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,16000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,16000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,4000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,500.0,5400.0,32.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,4000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Green,1000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar He8,8000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Seagate Exos X20,18000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,4000.0,5900.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,4000.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Seagate Exos X16,16000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,2000.0,5900.0,64.0,3.5,SATA 6.0 Gb/s
Toshiba MG09 512e,18000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Western Digital Red,2000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba DT01ACA050,500.0,7200.0,32.0,3.5,SATA 6.0 Gb/s
Toshiba X300,4000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,20000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Western Digital WD Blue,2000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,3000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,2000.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Seagate Pipeline HD,1000.0,5900.0,64.0,3.5,SATA 3.0 Gb/s
Seagate IronWolf Pro,6000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba P300,3000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital DC HC530,14000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC520,12000.0,7200.0,,3.5,SATA 6.0 Gb/s
Toshiba MD07ACA,12.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate ST4000NM0024,4000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance +Rescue,4000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate ST1000LM014,1000.0,,64.0,2.5,SATA 6.0 Gb/s
Western Digital WD Blue,4000.0,5400.0,256.0,3.5,SATA 3.0 Gb/s
Seagate IronWolf NAS,6000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Hitachi A7K1000-1000,1000.0,7200.0,32.0,3.5,SATA 3.0 Gb/s
Seagate ST1000LM035,1000.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Toshiba HDD2J92,640.0,5400.0,8.0,2.5,SATA 3.0 Gb/s
Western Digital Red,6000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Green,2000.0,5400.0,32.0,3.5,SATA 3.0 Gb/s
Western Digital Red Plus,8000.0,5640.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,14000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba X300,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise Capacity,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC560,22000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Hitachi 0F14683,4000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,14000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,18000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Toshiba DT01ACA300,3000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC550,18000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Toshiba P300,2000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Black,1000.0,7200.0,32.0,3.5,SATA 3.0 Gb/s
Toshiba HDKBB96,1000.0,5400.0,8.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,6000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,6000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,4000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Toshiba S300,4000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate ST500LM000,500.0,,64.0,2.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,1000.0,10000.0,64.0,3.5,SATA 6.0 Gb/s
Seagate Archive HDD v2,5000.0,5900.0,128.0,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,4000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate ST500LM021,500.0,7200.0,32.0,2.5,SATA 6.0 Gb/s
Seagate FireCuda,1000.0,,,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,4000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,1000.0,5400.0,8.0,2.5,SATA 6.0 Gb/s
Western Digital Red Plus,14000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Toshiba MG07ACA14TE,14000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512e/4Kn,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate NAS HDD,1000.0,5900.0,64.0,3.5,SATA 6.0 Gb/s
Seagate Exos X16,12000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black,4000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red,8000.0,5400.0,128.0,3.5,SATA 6.0 Gb/s
Toshiba X300,6000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,1000.0,5900.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,16000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Western Digital Red,10000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,4000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,14000.0,7200.0,,3.5,SATA 6.0 Gb/s
Western Digital Blue,500.0,7200.0,32.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,20000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital WDBSLA0040HNC-NRSN,4000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,20000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba L200,2000.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Toshiba MQ04ABF100,1000.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Western Digital Caviar Green,2000.0,5400.0,64.0,3.5,SATA 3.0 Gb/s
Seagate BarraCuda Pro,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,1000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,4000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Toshiba MQ01ABD-V,1000.0,5400.0,,2.5,SATA 6.0 Gb/s
Western Digital Purple Pro,22000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,4000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue Mobile,1000.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Seagate Exos X14,14000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Momentus Thin,500.0,5400.0,16.0,2.5,SATA 3.0 Gb/s
Seagate Constellation ES.2,3000.0,7200.0,64.0,3.5,SAS 6.0 Gb/s
Seagate Exos X16,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,2000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital AV-GP,250.0,5400.0,16.0,3.5,SATA 3.0 Gb/s
Seagate SkyHawk,1000.0,5900.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital AV-25,1000.0,5400.0,16.0,2.5,SATA 3.0 Gb/s
Seagate BarraCuda Pro Compute,12000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar,2000.0,7200.0,32.0,3.5,SATA 3.0 Gb/s
Seagate Pipeline HD,500.0,5900.0,8.0,3.5,SATA 3.0 Gb/s
Western Digital Blue,2000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Seagate Exos X16,14000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,2000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate EE25.2,40.0,5400.0,8.0,2.5,SATA 3.0 Gb/s
Western Digital Caviar Black,2000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,250.0,7200.0,8.0,3.5,SATA 3.0 Gb/s
Western Digital Purple,4000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Hitachi HDS723030ALA640,3000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar He10,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,4000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Western Digital Black,1000.0,7200.0,64.0,2.5,SATA 6.0 Gb/s
