name,socket,form_factor,max_memory,memory_slots
ASRock X670E Steel Legend,AM5,ATX,192,4
Gigabyte B550I AORUS PRO AX,AM4,Mini ITX,64,2
Gigabyte B650M D3HP AX,AM5,Micro ATX,192,4
Gigabyte B760M DS3H AX,LGA1700,Micro ATX,192,4
Gigabyte B550M DS3H AC,AM4,Micro ATX,128,4
Gigabyte Z790 AORUS ELITE X WIFI7,LGA1700,ATX,192,4
Asus PRIME Z790-P WIFI,LGA1700,ATX,192,4
Asus ProArt X670E-CREATOR WIFI,AM5,ATX,192,4
MSI B450 TOMAHAWK MAX,AM4,ATX,128,4
Gigabyte X670 AORUS ELITE AX (rev. 1.0),AM5,ATX,192,4
ASRock A620M Pro RS WiFi,AM5,Micro ATX,192,4
ASRock B450M PRO4 R2.0,AM4,Micro ATX,128,4
MSI PRO H610M-G WIFI DDR4,LGA1700,Micro ATX,64,2
ASRock H610M-HVS,LGA1700,Micro ATX,64,2
MSI MPG Z790 EDGE TI MAX WIFI,LGA1700,ATX,192,4
ASRock B650E PG RIPTIDE WIFI,AM5,ATX,192,4
MSI B650M GAMING PLUS WIFI,AM5,Micro ATX,192,4
ASRock Z690 Extreme,LGA1700,ATX,128,4
Gigabyte Z790 EAGLE AX,LGA1700,ATX,192,4
Gigabyte B650E AORUS ELITE X AX ICE,AM5,ATX,192,4
Gigabyte B550M DS3H,AM4,Micro ATX,128,4
Asus ROG STRIX B650E-E GAMING WIFI,AM5,ATX,192,4
Gigabyte B760 GAMING X AX,LGA1700,ATX,192,4
Gigabyte A520M K V2,AM4,Micro ATX,64,2
Asus ROG STRIX B550-F GAMING,AM4,ATX,128,4
ASRock B550 Phantom Gaming 4/ac,AM4,ATX,128,4
MSI PRO B760M-A WIFI DDR4,LGA1700,Micro ATX,128,4
Asus TUF GAMING B760M-PLUS WIFI II,LGA1700,Micro ATX,192,4
NZXT N7 Z790,LGA1700,ATX,192,4
Gigabyte B760I AORUS PRO,LGA1700,Mini ITX,96,2
ASRock B650M PG RIPTIDE WIFI,AM5,Micro ATX,192,4
Asus TUF GAMING B650M-PLUS WIFI,AM5,Micro ATX,192,4
Asus ROG STRIX X670E-F GAMING WIFI,AM5,ATX,192,4
Asus ProArt Z790-CREATOR WIFI,LGA1700,ATX,192,4
Asus PRIME B650-PLUS,AM5,ATX,192,4
MSI A520M-A PRO,AM4,Micro ATX,64,2
ASRock B550M-HDV,AM4,Micro ATX,64,2
ASRock B550M PG RIPTIDE,AM4,Micro ATX,128,4
Asus ROG STRIX X670E-I GAMING WIFI,AM5,Mini ITX,96,2
Asus ROG STRIX B760-A GAMING WIFI,LGA1700,ATX,192,4
Gigabyte X670 GAMING X AX V2,AM5,ATX,192,4
Gigabyte A520M DS3H V2,AM4,Micro ATX,128,4
Asus ROG STRIX Z790-H GAMING WIFI,LGA1700,ATX,192,4
MSI Z790 GAMING PLUS WIFI,LGA1700,ATX,192,4
ASRock Z690 Pro RS,LGA1700,ATX,128,4
Asus ROG STRIX Z790-F GAMING WIFI II,LGA1700,ATX,192,4
MSI MEG X670E GODLIKE,AM5,EATX,192,4
Gigabyte TRX40 AORUS PRO WIFI,sTRX4,ATX,256,8
Asus TUF GAMING B550M-PLUS WIFI II,AM4,Micro ATX,128,4
MSI PRO Z790-S WIFI,LGA1700,ATX,192,4
Asus ROG STRIX X670E-A GAMING WIFI,AM5,ATX,192,4
ASRock H370M-HDV,LGA1151,Micro ATX,64,2
ASRock B550 Phantom Gaming-ITX/ax,AM4,Mini ITX,64,2
Asus PRIME B660M-A WIFI D4,LGA1700,Micro ATX,128,4
MSI MAG B760M MORTAR WIFI II,LGA1700,Micro ATX,192,4
Asus ROG STRIX Z790-A GAMING WIFI D4,LGA1700,ATX,128,4
MSI MAG B650M MORTAR WIFI,AM5,Micro ATX,192,4
MSI MPG Z790I EDGE WIFI,LGA1700,Mini ITX,96,2
MSI PRO B550-VC,AM4,ATX,128,4
Gigabyte Z790 AORUS ELITE AX ICE,LGA1700,ATX,192,4
Asus PRIME B550-PLUS,AM4,ATX,128,4
ASRock B760M Pro RS/D4 WiFi,LGA1700,Micro ATX,128,4
ASRock X670E PG Lightning,AM5,ATX,192,4
Gigabyte A520M S2H,AM4,Micro ATX,64,2
ASRock B550 Phantom Gaming 4,AM4,ATX,128,4
MSI MAG Z790 TOMAHAWK MAX WIFI,LGA1700,ATX,192,4
