name,socket,form_factor,max_memory,memory_slots
Asus Z790 GAMING WIFI7,LGA1700,ATX,192,4
Asus PRIME Z690M-PLUS D4,LGA1700,Micro ATX,128,4
Asus PRIME A320M-A,AM4,Micro ATX,64,4
ASRock B660M Phantom Gaming 4,LGA1700,Micro ATX,128,4
MSI PRO B660M-G DDR4,LGA1700,Micro ATX,64,2
Asus Z170I PRO GAMING,LGA1151,Mini ITX,32,2
MSI B150M BAZOOKA,LGA1151,Micro ATX,64,4
MSI H310M PRO-M2 PLUS,LGA1151,Micro ATX,32,2
Asus Pro B560M-CT/CSM,LGA1200,Micro ATX,128,4
Gigabyte B660 DS3H DDR4,LGA1700,ATX,128,4
Asus PRIME H610M-D D4,LGA1700,Micro ATX,64,2
Asus ROG STRIX B660-F GAMING WIFI,LGA1700,ATX,192,4
ASRock Z590 Phantom Gaming-ITX/TB4,LGA1200,Mini ITX,64,2
Gigabyte Z590 AORUS PRO AX,LGA1200,ATX,128,4
Asus ROG STRIX Z490-A GAMING,LGA1200,ATX,128,4
Gigabyte B365 HD3,LGA1151,ATX,64,4
Asus H81M-C/CSM,LGA1150,Micro ATX,16,2
Asus TUF GAMING B560-PLUS WIFI,LGA1200,ATX,128,4
Asus MAXIMUS IX FORMULA,LGA1151,ATX,64,4
MSI Z370 SLI PLUS,LGA1151,ATX,64,4
MSI MEG Z390 ACE,LGA1151,ATX,128,4
Asus PRIME Z370-A II,LGA1151,ATX,64,4
Biostar A620MP-E PRO,AM5,Micro ATX,192,4
Asus TUF GAMING B660M-PLUS D4,LGA1700,Micro ATX,128,4
MSI X99A SLI PLUS,LGA2011-3,ATX,128,8
Gigabyte GA-H110M-S2H,LGA1151,Micro ATX,32,2
ASRock Z590-C/ac,LGA1200,ATX,128,4
Gigabyte B560 HD3,LGA1200,ATX,128,4
Asus TUF Z390-PRO GAMING,LGA1151,ATX,128,4
Colorful CVN X570M GAMING FROZEN V14,AM4,Micro ATX,128,4
Asus Z97I-PLUS,LGA1150,Mini ITX,16,2
Gigabyte H410M S2 V3,LGA1200,Micro ATX,64,2
Asus PRIME H270M-PLUS,LGA1151,Micro ATX,64,4
Asus ROG STRIX Z490-F GAMING,LGA1200,ATX,128,4
Asus PRIME B650M-R,AM5,Micro ATX,96,2
ASRock H670 Steel Legend,LGA1700,ATX,128,4
Asus Z10PA-D8,2 x LGA2011-3,ATX,512,8
Asus P8Z77-V LX,LGA1155,ATX,32,4
Gigabyte B560M AORUS PRO AX,LGA1200,Micro ATX,128,4
Gigabyte B660M AORUS Pro AX DDR4,LGA1700,Micro ATX,128,4
MSI B250M GAMING PRO,LGA1151,Micro ATX,32,2
MSI PRO B650-VC WIFI,AM5,ATX,192,4
Asus Pro B660M-C D4-CSM,LGA1700,Micro ATX,128,4
ASRock Z690 Steel Legend,LGA1700,ATX,128,4
Asus ROG STRIX Z490-G GAMING (WI-FI),LGA1200,Micro ATX,128,4
Asus ROG STRIX B560-F GAMING WIFI,LGA1200,ATX,128,4
MSI MEG Z490I UNIFY,LGA1200,Mini ITX,64,2
Asus H110-PLUS,LGA1151,ATX,32,2
Gigabyte Z390 D,LGA1151,ATX,128,4
MSI MEG Z690 UNIFY-X,LGA1700,ATX,96,2
MSI Big Bang-Marshal (B3),LGA1155,XL ATX,32,4
Gigabyte Z370 AORUS Gaming 5 (rev. 1.0),LGA1151,ATX,64,4
MSI MAG Z690M MORTAR WIFI,LGA1700,Micro ATX,192,4
Gigabyte X299 UD4 Pro,LGA2066,ATX,128,8
Gigabyte B550M S2H,AM4,Micro ATX,64,2
Gigabyte GA-H61M-DS2,LGA1155,Micro ATX,16,2
Asus SABERTOOTH X99,LGA2011-3,ATX,64,8
Asus ROG Strix Z370-H Gaming,LGA1151,ATX,64,4
MSI X470 GAMING PRO CARBON,AM4,ATX,64,4
Gigabyte B460M DS3H,LGA1200,Micro ATX,128,4
MSI MEG B550 UNIFY,AM4,ATX,128,4
MSI MEG Z590 UNIFY,LGA1200,ATX,128,4
MSI MPG Z790 CARBON MAX WIFI,LGA1700,ATX,192,4
ASRock X370 KILLER SLI/ac,AM4,ATX,64,4
MSI B360M MORTAR,LGA1151,Micro ATX,64,4
Gigabyte B560M DS3H,LGA1200,Micro ATX,128,4
Gigabyte A620M H (rev. 1.0),AM5,Micro ATX,96,2
ASRock B760M-C,LGA1700,Micro ATX,192,4
ASRock Z390 Extreme4,LGA1151,ATX,128,4
Asus PRIME B650M-A II,AM5,Micro ATX,192,4
Gigabyte B450M H,AM4,Micro ATX,32,2
Asus PRIME X670-P-CSM,AM5,ATX,192,4
Gigabyte B660 AORUS Master DDR4,LGA1700,ATX,128,4
Gigabyte GA-AB350N-Gaming WIFI (rev. 1.0),AM4,Mini ITX,32,2
NZXT N7 Z390,LGA1151,ATX,64,4
Gigabyte B550M AORUS PRO,AM4,Micro ATX,128,4
Biostar B660T-SILVER,LGA1700,Mini ITX,64,2
ASRock Z590 Pro4,LGA1200,ATX,128,4
ECS G31T-M7,LGA775,Micro ATX,4,2
Asus Q170M-C/CSM,LGA1151,Micro ATX,64,4
Asus ROG MAXIMUS XI HERO,LGA1151,ATX,128,4
ASRock H310M-HDV/M.2,LGA1151,Micro ATX,32,2
Gigabyte Z590I AORUS ULTRA,LGA1200,Mini ITX,64,2
Asus TUF GAMING B550M-ZAKU (WI-FI),AM4,Micro ATX,128,4
Gigabyte GA-B75M-D3H,LGA1155,Micro ATX,32,4
Gigabyte GA-H81M-DS2,LGA1150,Micro ATX,16,2
Gigabyte Z590I VISION D,LGA1200,Mini ITX,64,2
Intel DQ45CB,LGA775,Micro ATX,8,4
MSI Z170-A PRO,LGA1151,ATX,64,4
EVGA Z790 CLASSIFIED,LGA1700,EATX,128,4
Asus PRIME A620-PLUS WIFI6,AM5,ATX,192,4
ASRock A320M-ITX,AM4,Mini ITX,32,2
Gigabyte GA-X79S-UP5-WIFI,LGA2011,EATX,64,8
Asus X99-DELUXE,LGA2011-3,ATX,64,8
MSI Z170A GAMING M7,LGA1151,ATX,64,4
Asus ROG STRIX Z590-F GAMING WIFI,LGA1200,ATX,128,4
Asus PRIME H670-PLUS D4,LGA1700,ATX,128,4
MSI MAG B660M MORTAR MAX WIFI DDR4,LGA1700,Micro ATX,128,4
MSI H61M-P31/W8,LGA1155,Micro ATX,16,2
Asus H97M-E,LGA1150,Micro ATX,32,4
MSI Z170A PC MATE,LGA1151,ATX,64,4
MSI X370 GAMING PLUS,AM4,ATX,64,4
MSI B360 GAMING ARCTIC,LGA1151,ATX,64,4
ASRock B365 Pro4,LGA1151,ATX,64,4
MSI MPG Z490M GAMING EDGE WIFI,LGA1200,Micro ATX,128,4
MSI A320M PRO-VH,AM4,Micro ATX,64,2
MSI PRO B650-VC WIFI II,AM5,ATX,96,2
Gigabyte B560 AORUS PRO AX,LGA1200,ATX,128,4
Asus WS C246M PRO,LGA1151,Micro ATX,128,4
Asus Pro A620M-DASH-CSM,AM5,Micro ATX,96,2
Asus Z87-Pro,LGA1150,ATX,32,4
MSI A68HM-E33 V2,FM2+,Micro ATX,32,2
MSI Z170A GAMING PRO CARBON,LGA1151,ATX,64,4
Asus PRIME Z370-P II,LGA1151,ATX,64,4
ASRock B460M Pro4/ac,LGA1200,Micro ATX,128,4
Gigabyte X670 AORUS ELITE AX (rev. 1.1),AM5,ATX,192,4
Supermicro X10SL7-F,LGA1150,Micro ATX,32,4
ASRock Z690 Extreme WiFi 6E,LGA1700,ATX,128,4
Asus H81M-E,LGA1150,Micro ATX,16,2
ASRock H110M-HDV,LGA1151,Micro ATX,32,2
Asus STRIX Z270H,LGA1151,ATX,64,4
Asus TUF Z270 MARK 2,LGA1151,ATX,64,4
MSI Z270 PC MATE,LGA1151,ATX,64,4
Gigabyte X470 AORUS GAMING 5 WIFI,AM4,ATX,64,4
ASRock X570 PG Velocita,AM4,ATX,128,4
Asus H170I-PRO,LGA1151,Mini ITX,32,2
Gigabyte Z390 M GAMING,LGA1151,Micro ATX,128,4
Asus P7H55-M Pro,LGA1156,Micro ATX,16,4
Gigabyte GA-H61M-S2PV(R2.0),LGA1155,Micro ATX,16,2
Asus Sabertooth Z77,LGA1155,ATX,32,4
Asus ROG MAXIMUS VIII HERO ALPHA,LGA1151,ATX,64,4
ASRock B360M-HDV,LGA1151,Micro ATX,32,2
MSI MEG Z390 GODLIKE,LGA1151,EATX,128,4
MSI MPG Z590 GAMING FORCE,LGA1200,ATX,128,4
MSI MAG B760M MORTAR MAX WIFI,LGA1700,Micro ATX,192,4
Asus TUF GAMING B450M-PRO S,AM4,Micro ATX,128,4
Asus Maximus VI Hero,LGA1150,ATX,32,4
Gigabyte GA-Z170X-Gaming 3,LGA1151,ATX,64,4
Gigabyte GA-B365M-H,LGA1151,Micro ATX,32,2
ASRock Z490 Phantom Gaming-ITX/TB3,LGA1200,Mini ITX,64,2
MSI MAG B460 TORPEDO,LGA1200,ATX,128,4
ASRock B560M Steel Legend,LGA1200,Micro ATX,128,4
Asus WS X299 SAGE,LGA2066,SSI CEB,128,8
Gigabyte Z490 AORUS ELITE,LGA1200,ATX,128,4
Gigabyte Z690I AORUS ULTRA PLUS DDR4 (rev. 1.0),LGA1700,Mini ITX,64,2
Asus TUF GAMING Z490-PLUS,LGA1200,ATX,128,4
Gigabyte B660M AORUS ELITE AX DDR4,LGA1700,Micro ATX,128,4
Gigabyte GA-H97M-D3H,LGA1150,Micro ATX,32,4
Biostar AM1MH,AM1,Micro ATX,16,2
MSI H110M PRO-VH PLUS,LGA1151,Micro ATX,32,2
MSI B350I PRO AC,AM4,Mini ITX,32,2
Gigabyte X470 AORUS GAMING 7 WIFI,AM4,ATX,64,4
MSI PRO H610M-B DDR4,LGA1700,Micro ATX,64,2
Asus Prime A320I-K,AM4,Mini ITX,32,2
ASRock H410M-HDV/M.2,LGA1200,Micro ATX,64,2
EVGA Z790 DARK K|NGP|N,LGA1700,EATX,64,2
Asus ROG STRIX B560-G GAMING WIFI,LGA1200,Micro ATX,128,4
Asus Z170-E,LGA1151,ATX,64,4
Gigabyte GA-EP45-UD3R,LGA775,ATX,16,4
Asus 970 PRO GAMING/AURA,AM3+,ATX,32,4
Asus H110M-D,LGA1151,Micro ATX,32,2
Asus TUF X299 MARK 2,LGA2066,ATX,128,8
Asus TUF GAMING B460-PLUS,LGA1200,ATX,128,4
Gigabyte Z690 AORUS ELITE DDR4,LGA1700,ATX,128,4
Asus TUF Z390M-PRO GAMING (WI-FI),LGA1151,Micro ATX,128,4
Supermicro X10DRL-i,2 x LGA2011,ATX,512,8
MSI Z170A SLI PLUS,LGA1151,ATX,64,4
Gigabyte GA-AB350-Gaming,AM4,ATX,64,4
MSI B350M MORTAR,AM4,Micro ATX,64,4
MSI MPG Z590M GAMING EDGE WIFI,LGA1200,Micro ATX,128,4
Asus ROG Rampage VI Extreme Encore,LGA2066,EATX,256,8
MSI MAG B660 TOMAHAWK EVA e-PROJECT,LGA1700,ATX,192,4
Gigabyte H370 AORUS Gaming 3 WIFI,LGA1151,ATX,64,4
Gigabyte B550 AORUS PRO,AM4,ATX,128,4
MSI X79MA-GD45,LGA2011,Micro ATX,64,4
Gigabyte GA-Z170XP-SLI,LGA1151,ATX,64,4
ASRock B250M-HDV,LGA1151,Micro ATX,32,2
Gigabyte H310M H,LGA1151,Micro ATX,32,2
Asus ROG STRIX B450-E GAMING,AM4,ATX,64,4
ASRock H81M-VG4 R3.0,LGA1150,Micro ATX,16,2
Gigabyte A520M DS3H AC,AM4,Micro ATX,128,4
MSI PRO B550-P GEN3,AM4,ATX,128,4
MSI H510I PRO WIFI,LGA1200,Mini ITX,64,2
Asus Q87M-E/CSM,LGA1150,Micro ATX,32,4
Asus H81M-PLUS,LGA1150,Micro ATX,16,2
MSI B450M BAZOOKA V2,AM4,Micro ATX,64,4
ASRock B760M PG Riptide Wifi,LGA1700,Micro ATX,192,4
Asus ROG Maximus XIII Extreme,LGA1200,EATX,128,4
Gigabyte GA-AX370-Gaming K7,AM4,ATX,64,4
ASRock AB350 Gaming-ITX/ac,AM4,Mini ITX,32,2
Asus M5A99FX PRO R2.0,AM3+,ATX,32,4
ASRock 990FX Extreme9,AM3+,ATX,64,4
Asus Z87-A,LGA1150,ATX,32,4
Asus Z170-P,LGA1151,ATX,64,4
Gigabyte GA-B150M-D3H,LGA1151,Micro ATX,64,4
MSI B150 Gaming M3,LGA1151,ATX,64,4
MSI B250 PC MATE,LGA1151,ATX,64,4
ASRock X470 Master SLI/AC,AM4,ATX,64,4
Gigabyte B660 GAMING X DDR4,LGA1700,ATX,128,4
Asus Pro WS X570-ACE,AM4,ATX,128,4
MSI B560M PRO-VDH,LGA1200,Micro ATX,128,4
Biostar Z690A VALKYRIE,LGA1700,ATX,128,4
Asus X99-A,LGA2011-3,ATX,64,8
ASRock C236 WSI,LGA1151,Mini ITX,32,2
Gigabyte GA-Z270X-Ultra Gaming,LGA1151,ATX,64,4
MSI B360M PRO-VDH,LGA1151,Micro ATX,64,4
ASRock A520M/ac,AM4,Micro ATX,64,2
Asus PRIME H610M-A WIFI-CSM,LGA1700,Micro ATX,96,2
Asus PRIME B560M-K,LGA1200,Micro ATX,64,2
Asus STRIX H270F GAMING,LGA1151,ATX,64,4
ASRock X470 Taichi,AM4,ATX,64,4
MSI MEG X570 GODLIKE,AM4,EATX,128,4
Asus Z590 WIFI GUNDAM EDITION,LGA1200,ATX,128,4
Gigabyte B760 AORUS ELITE,LGA1700,ATX,192,4
ASRock B560 Pro4,LGA1200,ATX,128,4
Asus H170 PRO GAMING,LGA1151,ATX,64,4
Supermicro X10SRA,LGA2011-3,ATX,512,8
ASRock AB350M,AM4,Micro ATX,32,2
Gigabyte Z690I AORUS ULTRA LITE DDR4 (rev. 1.0),LGA1700,Mini ITX,64,2
ASRock B650 Pro RS WiFi,AM5,ATX,192,4
MSI MAG B760M MORTAR,LGA1700,Micro ATX,192,4
Gigabyte B650M AORUS ELITE,AM5,Micro ATX,192,4
Biostar H610MHP,LGA1700,Micro ATX,64,2
Asus PRIME Z590-V,LGA1200,ATX,128,4
Gigabyte X570S GAMING X,AM4,ATX,128,4
Gigabyte GA-990FXA-UD3,AM3+,ATX,32,4
Asus PRIME X399-A,sTR4,EATX,128,8
MSI PRO-B660M-A-CEC-WIFI-DDR4,LGA1700,Micro ATX,128,4
Biostar B650MT,AM5,Micro ATX,96,2
MSI MAG B660 TOMAHAWK WIFI,LGA1700,ATX,192,4
ASRock B660M Steel Legend,LGA1700,Micro ATX,128,4
Asus M5A97 LE R2.0,AM3+,ATX,32,4
Gigabyte GA-Z170-HD3,LGA1151,ATX,64,4
MSI H110M PRO-D,LGA1151,Micro ATX,32,2
Gigabyte GA-78LMT-USB3 R2,AM3+,Micro ATX,32,4
Gigabyte C246-WU4,LGA1151,ATX,128,4
Asus TUF B450-Pro Gaming,AM4,ATX,64,4
Gigabyte GA-AB350M-DS3H V2,AM4,Micro ATX,64,4
Asus PRIME H510M-A/CSM,LGA1200,Micro ATX,64,2
ASRock EP2C602-4L/D16,2 x LGA2011,SSI EEB,512,16
MSI Z270 GAMING PLUS,LGA1151,ATX,64,4
Asus PRIME B560-PLUS AC-HES,LGA1200,ATX,128,4
Asus P10S WS,LGA1151,ATX,64,4
ASRock Z590M-ITX/ax,LGA1200,Mini ITX,64,2
Asus PRIME B760M-PLUS,LGA1700,Micro ATX,192,4
Asus X79 Deluxe,LGA2011,ATX,64,8
Gigabyte GA-Z97X-Gaming 3,LGA1150,ATX,32,4
Gigabyte GA-X99M-GAMING 5,LGA2011-3,Micro ATX,32,4
MSI B365M-PRO-VH,LGA1151,Micro ATX,32,2
ASRock B660M Pro RS/D5,LGA1700,Micro ATX,192,4
Gigabyte B760M AORUS PRO AX,LGA1700,Micro ATX,192,4
Asus ROG STRIX B660-G GAMING WIFI,LGA1700,Micro ATX,128,4
ASRock H610M-HDV/M.2 R2.0,LGA1700,Micro ATX,64,2
Asus P5QProTurbo,LGA775,ATX,16,4
Asus P8Z77-V LK,LGA1155,ATX,32,4
Asus PRIME H270-PLUS-CSM,LGA1151,ATX,64,4
MSI Z370M MORTAR,LGA1151,Micro ATX,64,4
MSI B450M PRO-VDH PLUS,AM4,Micro ATX,64,4
Gigabyte Z490 UD,LGA1200,ATX,128,4
MSI PRO B760M-E,LGA1700,Micro ATX,96,2
ASRock Z390M-ITX/ac,LGA1151,Mini ITX,64,2
MSI PRO Z790-P,LGA1700,ATX,192,4
Asus STRIX B250F GAMING,LGA1151,ATX,64,4
MSI Z370 GAMING M5,LGA1151,ATX,64,4
Asus Prime B360-Plus,LGA1151,ATX,64,4
MSI MEG Z690 GODLIKE,LGA1700,EATX,192,4
Gigabyte Z690M AORUS ELITE DDR4,LGA1700,Micro ATX,128,4
Asus PRIME A320M-E,AM4,Micro ATX,64,2
Asus Z170-K,LGA1151,ATX,64,4
ASRock H110M-DGS,LGA1151,Micro ATX,32,2
MSI B250M MORTAR,LGA1151,Micro ATX,64,4
Biostar TB250-BTC,LGA1151,ATX,32,2
Asus ROG ZENITH EXTREME,sTR4,EATX,128,8
Gigabyte B760M GAMING WIFI,LGA1700,Micro ATX,96,2
Biostar B550MX/E PRO,AM4,Micro ATX,128,4
Asus B85M-E/CSM,LGA1150,Micro ATX,32,4
Gigabyte B660 DS3H AX DDR4,LGA1700,ATX,128,4
Asus PRIME Z590M-PLUS,LGA1200,Micro ATX,128,4
Gigabyte B650M C V2,AM5,Micro ATX,192,4
Gigabyte Z370XP SLI (rev. 1.0),LGA1151,ATX,64,4
Asus Crosshair V Formula-Z,AM3+,ATX,32,4
Asus RAMPAGE V EXTREME,LGA2011-3,EATX,64,8
Asus Z10PE-D8 WS,2 x LGA2011-3,SSI EEB,512,8
MSI B450M PRO-M2,AM4,Micro ATX,32,2
Asus TUF B360M-PLUS GAMING S,LGA1151,Micro ATX,64,4
Asus PRIME Z490-V,LGA1200,ATX,128,4
ASRock H610M/ac,LGA1700,Micro ATX,64,2
ASRock H510M-HVS,LGA1200,Micro ATX,64,2
MSI MEG Z490 UNIFY,LGA1200,ATX,128,4
Asus Sabertooth X58,LGA1366,ATX,24,6
Asus MAXIMUS VII IMPACT,LGA1150,Mini ITX,16,2
MSI B250M PRO-VDH,LGA1151,Micro ATX,64,4
ASRock X370 Taichi,AM4,ATX,64,4
ASRock Z370 Killer SLI/ac,LGA1151,ATX,64,4
ASRock Z370M-ITX/ac,LGA1151,Mini ITX,32,2
Gigabyte B560M AORUS ELITE,LGA1200,Micro ATX,128,4
Biostar B550T-SILVER,AM4,Mini ITX,64,2
MSI PRO B760M-G DDR4,LGA1700,Micro ATX,64,2
Asus CROSSHAIR VI HERO (WI-FI AC),AM4,ATX,64,4
Supermicro C9X299-PGF,LGA2066,ATX,128,8
MSI Z370 GAMING PRO CARBON AC,LGA1151,ATX,64,4
Gigabyte GA-Z97-HD3,LGA1150,ATX,32,4
Gigabyte GA-H97N-WIFI,LGA1150,Mini ITX,16,2
Asus MAXIMUS VIII RANGER,LGA1151,ATX,64,4
MSI H110M Pro-VD,LGA1151,Micro ATX,32,2
Asus ROG MAXIMUS X HERO,LGA1151,ATX,64,4
MSI MAG B460 TOMAHAWK,LGA1200,ATX,128,4
MSI B560M PRO,LGA1200,Micro ATX,64,2
Gigabyte GA-78LMT-S2,AM3+,Micro ATX,16,2
Asus Z97-K/CSM,LGA1150,ATX,32,4
MSI Z170A GAMING M3,LGA1151,ATX,64,4
MSI B150 PC Mate,LGA1151,ATX,64,4
ASRock 970A-G/3.1,AM3+/AM3,ATX,64,4
Gigabyte GA-H110-D3A,LGA1151,ATX,32,2
Gigabyte H410M S2H,LGA1200,Micro ATX,64,2
Gigabyte B550M GAMING,AM4,Micro ATX,64,2
Asus PRIME B650-PLUS-CSM,AM5,ATX,192,4
Biostar Z690GTA,LGA1700,ATX,128,4
MSI MAG B660M MORTAR WIFI,LGA1700,Micro ATX,192,4
Asus ROG STRIX B365-F GAMING,LGA1151,ATX,64,4
Asus TUF GAMING Z590-PLUS,LGA1200,ATX,128,4
Supermicro H8DG6-F,2 x G34,EATX,512,16
ASRock X99 Taichi,LGA2011-3,ATX,128,8
MSI H110M PRO-VD PLUS,LGA1151,Micro ATX,32,2
Asus STRIX Z270G,LGA1151,Micro ATX,64,4
ASRock Z370M Pro4,LGA1151,Micro ATX,64,4
ASRock G31M-S R2.0,LGA775,Micro ATX,8,2
Asus Z97M-PLUS,LGA1150,Micro ATX,32,4
ASRock Z270M-ITX/ac,LGA1151,Mini ITX,32,2
ASRock Z270 Extreme4,LGA1151,ATX,64,4
NZXT N7 Z490,LGA1200,ATX,128,4
ASRock B760M Pro-A WiFi,LGA1700,Micro ATX,192,4
Supermicro C7X99-OCE-O,LGA2011-3,ATX,128,8
MSI PRO Z790-P DDR4,LGA1700,ATX,128,4
ASRock B365M PRO4-F,LGA1151,Micro ATX,64,4
Gigabyte GA-Z170X-Gaming 5,LGA1151,ATX,64,4
Asus X99-DELUXE II,LGA2011-3,ATX,128,8
Asus PRIME B250-PLUS,LGA1151,ATX,64,4
Asus TUF Z370 Pro Gaming,LGA1151,ATX,64,4
Asus PRIME B360M-K,LGA1151,Micro ATX,32,2
ASRock H370M-ITX/ac,LGA1151,Mini ITX,32,2
Gigabyte GA-Z97X-Gaming 5,LGA1150,ATX,32,4
MSI Z97-Gaming 3,LGA1150,ATX,32,4
Gigabyte GA-X99-Ultra Gaming,LGA2011-3,ATX,128,8
MSI Z270 GAMING M7,LGA1151,ATX,64,4
ASRock Fatal1ty AB350 Gaming K4,AM4,ATX,64,4
ASRock Z390 STEEL LEGEND,LGA1151,ATX,128,4
MSI B550M PRO,AM4,Micro ATX,64,2
Asus Rampage IV Gene,LGA2011,Micro ATX,32,4
Asus P8H61-M LE/CSM R2.0,LGA1155,Micro ATX,16,2
MSI 760GMA-P34(FX),AM3+,Micro ATX,16,2
MSI H81M-E33,LGA1150,Micro ATX,16,2
ASRock H61M-VG3,LGA1155,Micro ATX,16,2
Asus ROG STRIX Z370-G GAMING (WI-FI AC),LGA1151,Micro ATX,64,4
Asus ROG STRIX B360-I GAMING,LGA1151,Mini ITX,32,2
ASRock H510M-ITX/ac,LGA1200,Mini ITX,64,2
Gigabyte Z590 VISION D,LGA1200,ATX,128,4
Gigabyte Z690I AORUS ULTRA DDR4,LGA1700,Mini ITX,64,2
MSI MEG X570S UNIFY-X MAX,AM4,ATX,64,2
Gigabyte X570S AORUS PRO AX,AM4,ATX,128,4
Biostar H510MHP 2.0,LGA1200,Micro ATX,64,2
MSI B85-G43 GAMING,LGA1150,ATX,32,4
Gigabyte GA-F2A68HM-S1,FM2+,Micro ATX,64,2
MSI Z270 TOMAHAWK ARCTIC,LGA1151,ATX,64,4
Asus ROG STRIX B360-H GAMING,LGA1151,ATX,64,4
MSI Z270 GAMING M5,LGA1151,ATX,64,4
MSI Z270I GAMING PRO CARBON AC,LGA1151,Mini ITX,32,2
Biostar H81MHV3,LGA1150,Micro ATX,16,2
Gigabyte X570 AORUS PRO,AM4,ATX,128,4
Gigabyte GA-G31M-ES2L,LGA775,Micro ATX,4,2
Intel DB75EN,LGA1155,Micro ATX,32,4
Gigabyte GA-Z170-HD3 DDR3,LGA1151,ATX,64,4
Asus B150M-A/M.2,LGA1151,Micro ATX,64,4
Gigabyte GA-AX370-GAMING 5,AM4,ATX,64,4
Asus TUF H310M-PLUS GAMING,LGA1151,Micro ATX,32,2
Asus PRIME B365M-K,LGA1151,Micro ATX,32,2
Gigabyte Z690I AORUS ULTRA LITE,LGA1700,Mini ITX,96,2
Asus Pro Q670M-C-CSM,LGA1700,Micro ATX,128,4
Asus TUF GAMING B660M-E D4,LGA1700,Micro ATX,128,4
MSI X299 PRO,LGA2066,ATX,256,8
Asus A68HM-K,FM2+,Micro ATX,32,2
Asus Maximus V Gene,LGA1155,Micro ATX,32,4
MSI Z97-G45 Gaming,LGA1150,ATX,32,4
Asus Z170-AR,LGA1151,ATX,64,4
MSI Z170A KRAIT GAMING 3X,LGA1151,ATX,64,4
ASRock 760GM-HDV,AM3+/AM3,Micro ATX,32,2
Asus PRIME H410M-A,LGA1200,Micro ATX,64,2
MSI MAG B560 TORPEDO,LGA1200,ATX,128,4
Asus PRIME A620M-E-CSM,AM5,Micro ATX,96,2
Asus ROG Strix H370-F Gaming,LGA1151,ATX,64,4
Biostar H310MHP,LGA1151,Micro ATX,32,2
MSI X370 SLI PLUS,AM4,ATX,64,4
Gigabyte B550 AORUS PRO AX,AM4,ATX,128,4
Asus Sabertooth X79,LGA2011,ATX,64,8
ASRock X99 Extreme4,LGA2011-3,ATX,128,8
Asus TUF SABERTOOTH 990FX R3.0,AM3+/AM3,ATX,32,4
Asus PRIME B250M-K,LGA1151,Micro ATX,32,2
MSI MEG B550 UNIFY-X,AM4,ATX,64,2
ASRock Z590 Steel Legend,LGA1200,ATX,128,4
Asus TUF GAMING B560M-PLUS,LGA1200,Micro ATX,128,4
ASRock Z690 Steel Legend WiFi 6E,LGA1700,ATX,128,4
Gigabyte B365 M AORUS ELITE,LGA1151,Micro ATX,64,4
MSI MEG Z490 ACE,LGA1200,ATX,128,4
Asus PRIME B760M-A AX D4,LGA1700,Micro ATX,128,4
Gigabyte GA-970A-UD3P,AM3+,ATX,32,4
Asus Z97-P,LGA1150,ATX,32,4
Gigabyte GA-Z170N-Gaming 5,LGA1151,Mini ITX,32,2
Asus H110I-PLUS,LGA1151,Mini ITX,32,2
MSI H510M PRO-E,LGA1200,Micro ATX,64,2
ASRock X299 WSI/IPMI,LGA2066,Mini ITX,64,4
Asus PRO H610M-CT D4-CSM,LGA1700,Micro ATX,64,2
MSI MAG B460M MORTAR,LGA1200,Micro ATX,128,4
Gigabyte Z690 AERO D,LGA1700,EATX,192,4
Gigabyte Z370 AORUS GAMING WIFI (rev. 1.0),LGA1151,ATX,64,4
Gigabyte GA-Z77X-D3H,LGA1155,ATX,32,4
Asus M5A78L-M/USB3,AM3+,Micro ATX,32,4
Asus Z97-AR,LGA1150,ATX,32,4
Gigabyte GA-Z270-Gaming K3,LGA1151,ATX,64,4
Gigabyte X399 AORUS XTREME,sTR4,EATX,128,8
MSI A320M PRO-M2 V2,AM4,Micro ATX,32,2
ASRock Z590 Phantom Gaming 4,LGA1200,ATX,128,4
Gigabyte B660 AORUS Master,LGA1700,ATX,192,4
Asus ROG Strix X399-E Gaming,sTR4,EATX,128,8
Biostar A520MT,AM4,Micro ATX,64,2
Intel DQ57TM,LGA1156,Micro ATX,16,4
MSI B75MA-E33,LGA1155,Micro ATX,16,2
MSI B250 GAMING M3,LGA1151,ATX,64,4
Gigabyte GA-AX370-Gaming K5,AM4,ATX,64,4
Asus PRIME X299-A,LGA2066,ATX,128,8
Asus PRIME H310M-A,LGA1151,Micro ATX,32,2
Gigabyte B360 HD3,LGA1151,ATX,64,4
ASRock B460M-HDV,LGA1200,Micro ATX,64,2
Gigabyte Z690 GAMING X,LGA1700,ATX,192,4
EVGA Z690 DARK K|NGP|N,LGA1700,EATX,64,2
Asus PRIME B760M-A WIFI D4-CSM,LGA1700,Micro ATX,128,4
Gigabyte B650M C,AM5,Micro ATX,192,4
Gigabyte Z490 AORUS MASTER,LGA1200,ATX,128,4
Asus Prime X299-Deluxe II,LGA2066,ATX,128,8
Gigabyte Z490 GAMING X,LGA1200,ATX,128,4
ASRock Z170 Pro4S,LGA1151,ATX,64,4
ASRock AB350M-HDV,AM4,Micro ATX,32,2
MSI B350 GAMING PRO CARBON,AM4,ATX,64,4
Asus TUF B360-PRO GAMING,LGA1151,ATX,64,4
Gigabyte X299X DESIGNARE 10G,LGA2066,EATX,256,8
MSI MAG B560M BAZOOKA,LGA1200,Micro ATX,128,4
